district,state,district_census_code,state_census_code,total,rural,urban
Kupwara,Jammu & Kashmir,1,1,0,0,
Badgam,Jammu & Kashmir,2,1,2.1,0,
Leh(Ladakh),Jammu & Kashmir,3,1,0,0,0
Kargil,Jammu & Kashmir,4,1,0,0,
Punch,Jammu & Kashmir,5,1,0,0,
Rajouri,Jammu & Kashmir,6,1,0,0,
Kathua,Jammu & Kashmir,7,1,0,0,
Baramula,Jammu & Kashmir,8,1,1.6,0,
Bandipore,Jammu & Kashmir,9,1,1.2,1.7,
Srinagar,Jammu & Kashmir,10,1,-9.3,,-9.4
Ganderbal,Jammu & Kashmir,11,1,0,0,
Pulwama,Jammu & Kashmir,12,1,0,0,
Shupiyan,Jammu & Kashmir,13,1,0,0,
Anantnag,Jammu & Kashmir,14,1,0,0,
Kulgam,Jammu & Kashmir,15,1,0,0,
Doda,Jammu & Kashmir,16,1,1.6,1.7,
Ramban,Jammu & Kashmir,17,1,1.5,1.5,
Kishtwar,Jammu & Kashmir,18,1,0,0,
Udhampur,Jammu & Kashmir,19,1,2.8,3.1,
Reasi,Jammu & Kashmir,20,1,1.1,1.2,
Jammu,Jammu & Kashmir,21,1,-8,*,-10.1
Samba,Jammu & Kashmir,22,1,2,-2.1,
Chamba,Himachal Pradesh,23,2,0,0,
Kangra,Himachal Pradesh,24,2,0,0,
Lahul and Spiti,Himachal Pradesh,25,2,0,0,
Kullu,Himachal Pradesh,26,2,3.7,-4,
Mandi,Himachal Pradesh,27,2,3.3,3.7,
Hamirpur,Himachal Pradesh,28,2,0,0,
Una,Himachal Pradesh,29,2,1.4,1.5,
Bilaspur,Himachal Pradesh,30,2,-4.6,-4.9,
Solan,Himachal Pradesh,31,2,-2.3,-3,
Sirmaur,Himachal Pradesh,32,2,6.7,1.9,
Shimla,Himachal Pradesh,33,2,0,0,
Kinnaur,Himachal Pradesh,34,2,0,0,
Gurdaspur,Punjab,35,3,5.2,-2.6,
Kapurthala,Punjab,36,3,-12.7,*,-18.6
Jalandhar,Punjab,37,3,-6.5,*,-7.5
Hoshiarpur,Punjab,38,3,-2.6,-2.9,
Sahid Bhagat Singh Nagar,Punjab,39,3,-20.3,-20.8,*
Fatehgarh Sahib,Punjab,40,3,-17.7,*,-10.5
Ludhiana,Punjab,41,3,-19.9,*,*
Moga,Punjab,42,3,9.2,-6.3,
Firozpur,Punjab,43,3,10.7,-4.1,
Muktsar,Punjab,44,3,0,0,
Faridkot,Punjab,45,3,5.6,-2.8,-11.2
Bathinda,Punjab,46,3,-18,*,*
Mansa,Punjab,47,3,5.2,-4.2,
Patiala,Punjab,48,3,14,-12.8,-15
Amritsar,Punjab,49,3,14,-2.5,*
Tarn Taran,Punjab,50,3,4,1.8,
Rup Nagar,Punjab,51,3,-7,-5.7,
Sahibzada Ajit Singh Nagar,Punjab,52,3,12.5,-7.9,-15.3
Sangrur,Punjab,53,3,15,-7.3,
Barnala,Punjab,54,3,-2.9,*,*
Uttarkashi,Uttarakhand,56,5,0,0,
Chamoli,Uttarakhand,57,5,1.7,2,
Rudraprayag,Uttarakhand,58,5,1.8,1.9,
Tehri Garhwal,Uttarakhand,59,5,0,0,
Dehradun,Uttarakhand,60,5,11.8,11.9,-11.6
Garhwal,Uttarakhand,61,5,11.1,-12.3,
Pithoragarh,Uttarakhand,62,5,-2.1,0,
Bageshwar,Uttarakhand,63,5,0,0,
Almora,Uttarakhand,64,5,3.5,-3.8,
Champawat,Uttarakhand,65,5,4.2,0,
Nainital,Uttarakhand,66,5,8,2.4,16.4
Udham Singh Nagar,Uttarakhand,67,5,4,2.9,5.4
Hardwar,Uttarakhand,68,5,8.1,5.1,12.9
Panchkula,Haryana,69,6,-5.6,0,*
Ambala,Haryana,70,6,3.8,-6.2,*
Yamunanagar,Haryana,71,6,-1.8,*,*
Kurukshetra,Haryana,72,6,5.2,3.4,
Kaithal,Haryana,73,6,0,0,
Karnal,Haryana,74,6,6,-3.8,-12.1
Panipat,Haryana,75,6,-5.4,*,-9.1
Sonipat,Haryana,76,6,5.4,-3.6,-8.7
Jind,Haryana,77,6,3.2,1.3,
Fatehabad,Haryana,78,6,5.1,4.9,
Sirsa,Haryana,79,6,5.9,1.6,
Hisar,Haryana,80,6,5.9,0,*
Bhiwani,Haryana,81,6,2.6,2.9,
Rohtak,Haryana,82,6,0.8,0,-2.3
Jhajjar,Haryana,83,6,1.6,-2.1,
Mahendragarh,Haryana,84,6,5,5.8,
Rewari,Haryana,85,6,6.7,-8.7,
Gurgaon,Haryana,86,6,17.9,-6.5,-21
Mewat,Haryana,87,6,2.6,3.5,
Faridabad,Haryana,88,6,2.6,,-1.4
Palwal,Haryana,89,6,7.1,5.4,
North West,NCT Delhi,90,7,-11.9,,-11.9
North,NCT Delhi,91,7,-6.5,,-6.6
North East,NCT Delhi,92,7,6.9,,6.9
East,NCT Delhi,93,7,-14.2,,-14.2
New Delhi,NCT Delhi,94,7,*,,*
Central,NCT Delhi,95,7,0,,0
West,NCT Delhi,96,7,*,,*
South West,NCT Delhi,97,7,-7,,-7.7
South,NCT Delhi,98,7,-3.9,,-3.9
Ganganagar,Rajasthan,99,8,5.1,1.6,
Hanumangarh,Rajasthan,100,8,4.4,1.9,
Bikaner,Rajasthan,101,8,3.2,2.1,5.4
Churu,Rajasthan,102,8,1.1,0,
Jhunjhunun,Rajasthan,103,8,1.5,0,
Alwar,Rajasthan,104,8,2.4,2.6,
Bharatpur,Rajasthan,105,8,2,2.5,
Dhaulpur,Rajasthan,106,8,2,0,
Karauli,Rajasthan,107,8,3.4,2.6,
Sawai Madhopur,Rajasthan,108,8,2.2,1.5,
Dausa,Rajasthan,109,8,0,0,
Jaipur,Rajasthan,110,8,11,2.7,16.7
Sikar,Rajasthan,111,8,15.6,11.8,
Nagaur,Rajasthan,112,8,1,1.3,
Jodhpur,Rajasthan,113,8,6.2,0,18.2
Jaisalmer,Rajasthan,114,8,5.2,3.6,
Barmer,Rajasthan,115,8,3.7,3.8,
Jalor,Rajasthan,116,8,14.1,13.8,
Sirohi,Rajasthan,117,8,4.2,2.4,
Pali,Rajasthan,118,8,2.8,3.3,
Ajmer,Rajasthan,119,8,2.6,1.3,5.4
Tonk,Rajasthan,120,8,1.4,0,
Bundi,Rajasthan,121,8,0,0,
Bhilwara,Rajasthan,122,8,5.3,2,
Rajsamand,Rajasthan,123,8,2.9,3.2,
Dungarpur,Rajasthan,124,8,3.1,2.2,
Banswara,Rajasthan,125,8,2.1,2.1,
Chittaurgarh,Rajasthan,126,8,-4.2,-2.3,
Kota,Rajasthan,127,8,9.2,0,16
Baran,Rajasthan,128,8,0,0,
Jhalawar,Rajasthan,129,8,0,0,
Udaipur,Rajasthan,130,8,1.3,1.5,
Pratapgarh,Rajasthan,131,8,0,0,
Saharanpur,Uttar Pradesh,132,9,4.5,1.3,12.5
Muzaffarnagar,Uttar Pradesh,133,9,1.8,0,
Bijnor,Uttar Pradesh,134,9,4.8,3.4,
Moradabad,Uttar Pradesh,135,9,2.5,1,5.6
Rampur,Uttar Pradesh,136,9,1.7,1.1,
Jyotiba Phule Nagar,Uttar Pradesh,137,9,1,0,
Meerut,Uttar Pradesh,138,9,8.8,1,14.8
Baghpat,Uttar Pradesh,139,9,7.6,4.8,
Ghaziabad,Uttar Pradesh,140,9,18.5,2.9,26.4
Gautam Buddha Nagar,Uttar Pradesh,141,9,19.6,7.6,26
Bulandshahr,Uttar Pradesh,142,9,3.4,3.2,
Aligarh,Uttar Pradesh,143,9,2.3,1.6,4.1
Mahamaya Nagar,Uttar Pradesh,144,9,1.9,1.1,
Mathura,Uttar Pradesh,145,9,6.4,5.2,
Agra,Uttar Pradesh,146,9,11.1,1.7,23.6
Firozabad,Uttar Pradesh,147,9,6.1,3.4,10.7
Mainpuri,Uttar Pradesh,148,9,1.5,0,
Budaun,Uttar Pradesh,149,9,5.7,1.1,
Bareilly,Uttar Pradesh,150,9,5.9,1.1,15.1
Pilibhit,Uttar Pradesh,151,9,1.2,1.4,
Shahjahanpur,Uttar Pradesh,152,9,0,0,
Kheri,Uttar Pradesh,153,9,0,0,
Sitapur,Uttar Pradesh,154,9,4.6,4,
Hardoi,Uttar Pradesh,155,9,2.6,1.5,
Unnao,Uttar Pradesh,156,9,0,0,
Lucknow,Uttar Pradesh,157,9,10.8,1.6,-19.6
Rae Bareli,Uttar Pradesh,158,9,2.4,0,
Farrukhabad,Uttar Pradesh,159,9,4.9,5.6,
Kannauj,Uttar Pradesh,160,9,2.7,0,
Etawah,Uttar Pradesh,161,9,2.6,3.5,
Auraiya,Uttar Pradesh,162,9,4.2,3.5,
Kanpur Dehat,Uttar Pradesh,163,9,0,0,
Kanpur Nagar,Uttar Pradesh,164,9,14.9,2.5,-23.4
Jalaun,Uttar Pradesh,165,9,0,0,
Jhansi,Uttar Pradesh,166,9,5.8,1.7,11.7
Lalitpur,Uttar Pradesh,167,9,0,0,
Hamirpur,Uttar Pradesh,168,9,0,0,
Mahoba,Uttar Pradesh,169,9,0,0,
Banda,Uttar Pradesh,170,9,0,0,
Chitrakoot,Uttar Pradesh,171,9,2.1,2.3,
Fatehpur,Uttar Pradesh,172,9,1.9,2.2,
Pratapgarh,Uttar Pradesh,173,9,6,6.3,
Kaushambi,Uttar Pradesh,174,9,5.9,4.1,
Allahabad,Uttar Pradesh,175,9,8.5,4.4,
Bara Banki,Uttar Pradesh,176,9,4.8,1.6,
Faizabad,Uttar Pradesh,177,9,4.7,4,
Ambedkar Nagar,Uttar Pradesh,178,9,3,2.3,
Sultanpur,Uttar Pradesh,179,9,3.2,1.4,
Bahraich,Uttar Pradesh,180,9,2.9,3.4,
Shrawasti,Uttar Pradesh,181,9,1.1,1.1,
Balrampur,Uttar Pradesh,182,9,1.3,1.3,
Gonda,Uttar Pradesh,183,9,11.4,11.8,
Siddharthnagar,Uttar Pradesh,184,9,1.1,1.1,
Basti,Uttar Pradesh,185,9,6.5,4.4,
