district,state,district_census_code,state_census_code,total,rural,urban
Kupwara,Jammu & Kashmir,1,1,1,1.4,
Badgam,Jammu & Kashmir,2,1,0.7,0.9,
Leh(Ladakh),Jammu & Kashmir,3,1,3.1,1.1,5.9
Kargil,Jammu & Kashmir,4,1,0.4,0.6,
Punch,Jammu & Kashmir,5,1,2.7,2.3,
Rajouri,Jammu & Kashmir,6,1,2.4,2.2,
Kathua,Jammu & Kashmir,7,1,2.6,3.2,
Baramula,Jammu & Kashmir,8,1,1.5,2.2,
Bandipore,Jammu & Kashmir,9,1,1.3,1.9,
Srinagar,Jammu & Kashmir,10,1,0,,0
Ganderbal,Jammu & Kashmir,11,1,3.7,1.9,
Pulwama,Jammu & Kashmir,12,1,1.3,0.9,
Shupiyan,Jammu & Kashmir,13,1,1.4,1.3,
Anantnag,Jammu & Kashmir,14,1,2.5,1.8,
Kulgam,Jammu & Kashmir,15,1,1.8,1.9,
Doda,Jammu & Kashmir,16,1,2.5,2.3,
Ramban,Jammu & Kashmir,17,1,0.8,0.9,
Kishtwar,Jammu & Kashmir,18,1,2.2,1.9,
Udhampur,Jammu & Kashmir,19,1,0,0,
Reasi,Jammu & Kashmir,20,1,3,3.2,
Jammu,Jammu & Kashmir,21,1,2,0.8,3.2
Samba,Jammu & Kashmir,22,1,5.5,5.6,
Chamba,Himachal Pradesh,23,2,4.2,4.6,
Kangra,Himachal Pradesh,24,2,4,4.4,
Lahul and Spiti,Himachal Pradesh,25,2,6.2,6.2,
Kullu,Himachal Pradesh,26,2,3.9,3.9,
Mandi,Himachal Pradesh,27,2,3.8,3.6,
Hamirpur,Himachal Pradesh,28,2,6.2,6.8,
Una,Himachal Pradesh,29,2,4.1,4.6,
Bilaspur,Himachal Pradesh,30,2,2.8,2.2,
Solan,Himachal Pradesh,31,2,3.2,4.7,
Sirmaur,Himachal Pradesh,32,2,4.5,4.8,
Shimla,Himachal Pradesh,33,2,3,2.6,
Kinnaur,Himachal Pradesh,34,2,5,5,
Gurdaspur,Punjab,35,3,3.4,1.7,
Kapurthala,Punjab,36,3,1.7,1.4,2.3
Jalandhar,Punjab,37,3,1.8,1.4,2.1
Hoshiarpur,Punjab,38,3,7.2,6.8,
Sahid Bhagat Singh Nagar,Punjab,39,3,2.4,3.1,*
Fatehgarh Sahib,Punjab,40,3,3.9,4.5,-2.2
Ludhiana,Punjab,41,3,2.6,1.4,3.2
Moga,Punjab,42,3,1.8,2.5,
Firozpur,Punjab,43,3,4.7,4.2,
Muktsar,Punjab,44,3,4.3,3.6,
Faridkot,Punjab,45,3,1.7,0.9,4.7
Bathinda,Punjab,46,3,1.2,1.1,1.3
Mansa,Punjab,47,3,3.6,3.9,
Patiala,Punjab,48,3,2.3,1.2,3.2
Amritsar,Punjab,49,3,0,0,0
Tarn Taran,Punjab,50,3,4.5,3.3,
Rup Nagar,Punjab,51,3,3.5,4.6,
Sahibzada Ajit Singh Nagar,Punjab,52,3,3.4,4.4,2.6
Sangrur,Punjab,53,3,5.8,7.8,
Barnala,Punjab,54,3,5.5,8,0
Uttarkashi,Uttarakhand,56,5,3.7,2.8,
Chamoli,Uttarakhand,57,5,2.2,1.2,
Rudraprayag,Uttarakhand,58,5,0,0,
Tehri Garhwal,Uttarakhand,59,5,0,0,
Dehradun,Uttarakhand,60,5,3.8,3.2,4.1
Garhwal,Uttarakhand,61,5,4,5.2,
Pithoragarh,Uttarakhand,62,5,1.1,0,
Bageshwar,Uttarakhand,63,5,0.8,0.9,
Almora,Uttarakhand,64,5,3.3,4,
Champawat,Uttarakhand,65,5,2.9,3,
Nainital,Uttarakhand,66,5,4.5,5.2,3.7
Udham Singh Nagar,Uttarakhand,67,5,4.5,3.4,5.9
Hardwar,Uttarakhand,68,5,2.9,1.5,5.2
Panchkula,Haryana,69,6,2.2,1.3,2.9
Ambala,Haryana,70,6,1.6,0,3.9
Yamunanagar,Haryana,71,6,0,0,0
Kurukshetra,Haryana,72,6,1.6,1.5,
Kaithal,Haryana,73,6,0.6,0.9,
Karnal,Haryana,74,6,1.9,2.6,0
Panipat,Haryana,75,6,0,0,0
Sonipat,Haryana,76,6,1.1,0,3.3
Jind,Haryana,77,6,1.6,2,
Fatehabad,Haryana,78,6,2.4,2.1,
Sirsa,Haryana,79,6,1.1,0.8,
Hisar,Haryana,80,6,0.6,0,1.7
Bhiwani,Haryana,81,6,1.7,2.3,
Rohtak,Haryana,82,6,2.4,1,4.1
Jhajjar,Haryana,83,6,2.7,3.7,
Mahendragarh,Haryana,84,6,2.4,2.1,
Rewari,Haryana,85,6,3.8,4.7,
Gurgaon,Haryana,86,6,1,4.2,0
Mewat,Haryana,87,6,1.4,2.1,
Faridabad,Haryana,88,6,2.6,,2
Palwal,Haryana,89,6,5.6,4.5,
North West,NCT Delhi,90,7,0,,0
North,NCT Delhi,91,7,-2.2,,-2.3
North East,NCT Delhi,92,7,0,,0
East,NCT Delhi,93,7,0.8,,0.8
New Delhi,NCT Delhi,94,7,0,,0
Central,NCT Delhi,95,7,0,,0
West,NCT Delhi,96,7,0,,0
South West,NCT Delhi,97,7,2.2,,2.2
South,NCT Delhi,98,7,0,,0
Ganganagar,Rajasthan,99,8,4.8,3.7,
Hanumangarh,Rajasthan,100,8,3.1,3.2,
Bikaner,Rajasthan,101,8,2.3,2.9,1.4
Churu,Rajasthan,102,8,2.9,2,
Jhunjhunun,Rajasthan,103,8,1.2,1.6,
Alwar,Rajasthan,104,8,0.7,0.9,
Bharatpur,Rajasthan,105,8,1.9,0.7,
Dhaulpur,Rajasthan,106,8,0,0,
Karauli,Rajasthan,107,8,1.2,0,
Sawai Madhopur,Rajasthan,108,8,0.6,0.7,
Dausa,Rajasthan,109,8,1.4,0.8,
Jaipur,Rajasthan,110,8,3.1,4.4,2
Sikar,Rajasthan,111,8,1.3,1,
Nagaur,Rajasthan,112,8,1.3,0.7,
Jodhpur,Rajasthan,113,8,2.2,2.7,1.4
Jaisalmer,Rajasthan,114,8,1.3,1.5,
Barmer,Rajasthan,115,8,2,2.2,
Jalor,Rajasthan,116,8,0.6,0.7,
Sirohi,Rajasthan,117,8,0.8,0,
Pali,Rajasthan,118,8,0.8,1.1,
Ajmer,Rajasthan,119,8,1.6,1.4,1.8
Tonk,Rajasthan,120,8,0.8,1,
Bundi,Rajasthan,121,8,4,4.5,
Bhilwara,Rajasthan,122,8,0,0,
Rajsamand,Rajasthan,123,8,0,0,
Dungarpur,Rajasthan,124,8,0.6,0.7,
Banswara,Rajasthan,125,8,0.8,0.9,
Chittaurgarh,Rajasthan,126,8,1.3,0,
Kota,Rajasthan,127,8,1.4,1.1,1.6
Baran,Rajasthan,128,8,1.3,0.9,
Jhalawar,Rajasthan,129,8,1.9,2.3,
Udaipur,Rajasthan,130,8,1.6,2,
Pratapgarh,Rajasthan,131,8,0,0,
Saharanpur,Uttar Pradesh,132,9,0.9,0,2.8
Muzaffarnagar,Uttar Pradesh,133,9,1.1,0,
Bijnor,Uttar Pradesh,134,9,0,0,
Moradabad,Uttar Pradesh,135,9,0.7,0.6,1
Rampur,Uttar Pradesh,136,9,0,0,
Jyotiba Phule Nagar,Uttar Pradesh,137,9,1.1,0,
Meerut,Uttar Pradesh,138,9,2.8,3,2.7
Baghpat,Uttar Pradesh,139,9,1.2,0.7,
Ghaziabad,Uttar Pradesh,140,9,0.9,0,1.1
Gautam Buddha Nagar,Uttar Pradesh,141,9,1.8,1.6,1.9
Bulandshahr,Uttar Pradesh,142,9,1.9,1.7,
Aligarh,Uttar Pradesh,143,9,1.4,0.5,2.9
Mahamaya Nagar,Uttar Pradesh,144,9,4.1,0.9,
Mathura,Uttar Pradesh,145,9,0,0,
Agra,Uttar Pradesh,146,9,1.3,1.2,1.5
Firozabad,Uttar Pradesh,147,9,0.8,0.5,1
Mainpuri,Uttar Pradesh,148,9,0.6,0.8,
Budaun,Uttar Pradesh,149,9,1.2,1.7,
Bareilly,Uttar Pradesh,150,9,1.8,1.2,2.6
Pilibhit,Uttar Pradesh,151,9,1.2,1.6,
Shahjahanpur,Uttar Pradesh,152,9,1.6,0.7,
Kheri,Uttar Pradesh,153,9,1.4,0.8,
Sitapur,Uttar Pradesh,154,9,0,0,
Hardoi,Uttar Pradesh,155,9,1.3,1.5,
Unnao,Uttar Pradesh,156,9,0.8,0,
Lucknow,Uttar Pradesh,157,9,0,0,0
Rae Bareli,Uttar Pradesh,158,9,0.6,0.7,
Farrukhabad,Uttar Pradesh,159,9,1.2,0.9,
Kannauj,Uttar Pradesh,160,9,1.9,2.5,
Etawah,Uttar Pradesh,161,9,1.3,1.7,
Auraiya,Uttar Pradesh,162,9,0,0,
Kanpur Dehat,Uttar Pradesh,163,9,0,0,
Kanpur Nagar,Uttar Pradesh,164,9,1,0.9,1
Jalaun,Uttar Pradesh,165,9,0,0,
Jhansi,Uttar Pradesh,166,9,1.1,0,2.2
Lalitpur,Uttar Pradesh,167,9,0,0,
Hamirpur,Uttar Pradesh,168,9,2.2,2.3,
Mahoba,Uttar Pradesh,169,9,0.8,0,
Banda,Uttar Pradesh,170,9,1.6,1,
Chitrakoot,Uttar Pradesh,171,9,0.9,0,
Fatehpur,Uttar Pradesh,172,9,1.4,0.9,
Pratapgarh,Uttar Pradesh,173,9,0,0,
Kaushambi,Uttar Pradesh,174,9,1.2,0,
Allahabad,Uttar Pradesh,175,9,4.5,3.6,
Bara Banki,Uttar Pradesh,176,9,1.5,1.9,
Faizabad,Uttar Pradesh,177,9,0.8,0,
Ambedkar Nagar,Uttar Pradesh,178,9,1.3,0.6,
Sultanpur,Uttar Pradesh,179,9,0,0,
Bahraich,Uttar Pradesh,180,9,3.1,2.9,
Shrawasti,Uttar Pradesh,181,9,0.9,1,
Balrampur,Uttar Pradesh,182,9,3.4,1,
Gonda,Uttar Pradesh,183,9,3.3,3.5,
Siddharthnagar,Uttar Pradesh,184,9,1,0,
Basti,Uttar Pradesh,185,9,4.2,3,
Sant Kabir Nagar,Uttar Pradesh,186,9,2.4,1.9,
Maharajganj,Uttar Pradesh,187,9,5.7,5.1,
Gorakhpur,Uttar Pradesh,188,9,2.2,2.8,
Kushinagar,Uttar Pradesh,189,9,4.6,4.5,
Deoria,Uttar Pradesh,190,9,1.5,0.9,
Azamgarh,Uttar Pradesh,191,9,0.8,1.1,
