district,state,district_census_code,state_census_code,total,rural,urban
Kupwara,Jammu & Kashmir,1,1,0.9,1,
Badgam,Jammu & Kashmir,2,1,0.6,0.6,
Leh(Ladakh),Jammu & Kashmir,3,1,0.5,0.8,0
Kargil,Jammu & Kashmir,4,1,0.5,0.7,
Punch,Jammu & Kashmir,5,1,1,1,
Rajouri,Jammu & Kashmir,6,1,1.1,0.8,
Kathua,Jammu & Kashmir,7,1,0.4,0.4,
Baramula,Jammu & Kashmir,8,1,0.5,0.5,
Bandipore,Jammu & Kashmir,9,1,1.1,0.8,
Srinagar,Jammu & Kashmir,10,1,0.7,,0.7
Ganderbal,Jammu & Kashmir,11,1,0.9,1.2,
Pulwama,Jammu & Kashmir,12,1,1.1,1,
Shupiyan,Jammu & Kashmir,13,1,0.9,0.9,
Anantnag,Jammu & Kashmir,14,1,0.9,1.3,
Kulgam,Jammu & Kashmir,15,1,1.5,1.6,
Doda,Jammu & Kashmir,16,1,1.9,1.9,
Ramban,Jammu & Kashmir,17,1,2.1,2.2,
Kishtwar,Jammu & Kashmir,18,1,0.6,0.6,
Udhampur,Jammu & Kashmir,19,1,0.5,0.6,
Reasi,Jammu & Kashmir,20,1,0.3,0.3,
Jammu,Jammu & Kashmir,21,1,0.9,1.4,0.4
Samba,Jammu & Kashmir,22,1,0.7,0.7,
Chamba,Himachal Pradesh,23,2,1,1.1,
Kangra,Himachal Pradesh,24,2,0.6,0.7,
Lahul and Spiti,Himachal Pradesh,25,2,0.4,0.4,
Kullu,Himachal Pradesh,26,2,1,0.9,
Mandi,Himachal Pradesh,27,2,0.8,0.8,
Hamirpur,Himachal Pradesh,28,2,1.1,1.2,
Una,Himachal Pradesh,29,2,1.3,1.4,
Bilaspur,Himachal Pradesh,30,2,1.3,1.2,
Solan,Himachal Pradesh,31,2,0.9,0.7,
Sirmaur,Himachal Pradesh,32,2,1,0.8,
Shimla,Himachal Pradesh,33,2,0.6,0.6,
Kinnaur,Himachal Pradesh,34,2,0.2,0.2,
Gurdaspur,Punjab,35,3,0.3,0.5,
Kapurthala,Punjab,36,3,0.6,0.8,0.2
Jalandhar,Punjab,37,3,0.3,0.5,0.2
Hoshiarpur,Punjab,38,3,0.8,1,
Sahid Bhagat Singh Nagar,Punjab,39,3,0.6,0.3,1.9
Fatehgarh Sahib,Punjab,40,3,0.4,0.4,0.5
Ludhiana,Punjab,41,3,0.4,1.1,0
Moga,Punjab,42,3,0.9,0.8,
Firozpur,Punjab,43,3,0.4,0.6,
Muktsar,Punjab,44,3,0.6,0.4,
Faridkot,Punjab,45,3,1.2,1.5,0.3
Bathinda,Punjab,46,3,0.6,0.3,0.9
Mansa,Punjab,47,3,0.7,0.6,
Patiala,Punjab,48,3,1.1,1.2,0.9
Amritsar,Punjab,49,3,1.1,1.2,1.1
Tarn Taran,Punjab,50,3,0.7,0.8,
Rup Nagar,Punjab,51,3,1.4,1.6,
Sahibzada Ajit Singh Nagar,Punjab,52,3,0.5,0.8,0.3
Sangrur,Punjab,53,3,1.1,0.8,
Barnala,Punjab,54,3,1.4,1.1,2
Uttarkashi,Uttarakhand,56,5,0.2,0.2,
Chamoli,Uttarakhand,57,5,0.6,0.4,
Rudraprayag,Uttarakhand,58,5,0.1,0.1,
Tehri Garhwal,Uttarakhand,59,5,0.3,0.2,
Dehradun,Uttarakhand,60,5,0.9,0.6,1
Garhwal,Uttarakhand,61,5,0,0,
Pithoragarh,Uttarakhand,62,5,0.9,0.9,
Bageshwar,Uttarakhand,63,5,0.9,0.8,
Almora,Uttarakhand,64,5,0.2,0.1,
Champawat,Uttarakhand,65,5,0.2,0.1,
Nainital,Uttarakhand,66,5,0.9,0.7,1.2
Udham Singh Nagar,Uttarakhand,67,5,1.3,1.3,1.3
Hardwar,Uttarakhand,68,5,1.2,1.1,1.3
Panchkula,Haryana,69,6,0.4,0.8,0.1
Ambala,Haryana,70,6,0.6,0.4,0.8
Yamunanagar,Haryana,71,6,0.3,0.4,0.3
Kurukshetra,Haryana,72,6,0.3,0.3,
Kaithal,Haryana,73,6,0.4,0.2,
Karnal,Haryana,74,6,0.2,0,0.5
Panipat,Haryana,75,6,0.4,0.5,0.3
Sonipat,Haryana,76,6,0.9,1,0.9
Jind,Haryana,77,6,0.4,0.4,
Fatehabad,Haryana,78,6,0.5,0.6,
Sirsa,Haryana,79,6,1,0.8,
Hisar,Haryana,80,6,0.2,0.2,0.2
Bhiwani,Haryana,81,6,0.5,0.3,
Rohtak,Haryana,82,6,1,1.1,0.8
Jhajjar,Haryana,83,6,0.7,0.8,
Mahendragarh,Haryana,84,6,0.4,0.1,
Rewari,Haryana,85,6,0.5,0.4,
Gurgaon,Haryana,86,6,0.9,0.8,0.9
Mewat,Haryana,87,6,0.5,0.6,
Faridabad,Haryana,88,6,0.5,,0.5
Palwal,Haryana,89,6,0.8,0.9,
North West,NCT Delhi,90,7,0.5,,0.5
North,NCT Delhi,91,7,1.2,,1.3
North East,NCT Delhi,92,7,0.5,,0.5
East,NCT Delhi,93,7,1.4,,1.4
New Delhi,NCT Delhi,94,7,0.2,,0.2
Central,NCT Delhi,95,7,0.8,,0.8
West,NCT Delhi,96,7,0.5,,0.5
South West,NCT Delhi,97,7,0.7,,0.8
South,NCT Delhi,98,7,0.5,,0.5
Ganganagar,Rajasthan,99,8,0.5,0.5,
Hanumangarh,Rajasthan,100,8,0.6,0.4,
Bikaner,Rajasthan,101,8,0.4,0.4,0.4
Churu,Rajasthan,102,8,0.3,0.4,
Jhunjhunun,Rajasthan,103,8,0.8,0.6,
Alwar,Rajasthan,104,8,0.5,0.6,
Bharatpur,Rajasthan,105,8,0.9,1,
Dhaulpur,Rajasthan,106,8,0.4,0.4,
Karauli,Rajasthan,107,8,0.5,0.4,
Sawai Madhopur,Rajasthan,108,8,0.4,0.2,
Dausa,Rajasthan,109,8,0.7,0.6,
Jaipur,Rajasthan,110,8,0.9,0.6,1.1
Sikar,Rajasthan,111,8,0.4,0.4,
Nagaur,Rajasthan,112,8,0.6,0.6,
Jodhpur,Rajasthan,113,8,0.2,0.2,0.3
Jaisalmer,Rajasthan,114,8,0.1,0.1,
Barmer,Rajasthan,115,8,0.7,0.7,
Jalor,Rajasthan,116,8,0.5,0.4,
Sirohi,Rajasthan,117,8,0.4,0.2,
Pali,Rajasthan,118,8,0.5,0.4,
Ajmer,Rajasthan,119,8,0.2,0.2,0.4
Tonk,Rajasthan,120,8,0.4,0.2,
Bundi,Rajasthan,121,8,0.4,0.3,
Bhilwara,Rajasthan,122,8,0.4,0.4,
Rajsamand,Rajasthan,123,8,0.4,0.5,
Dungarpur,Rajasthan,124,8,0.3,0.3,
Banswara,Rajasthan,125,8,0.3,0.3,
Chittaurgarh,Rajasthan,126,8,1.3,1.3,
Kota,Rajasthan,127,8,0.4,0.3,0.4
Baran,Rajasthan,128,8,0.6,0.6,
Jhalawar,Rajasthan,129,8,0.4,0.2,
Udaipur,Rajasthan,130,8,0.4,0.4,
Pratapgarh,Rajasthan,131,8,0.8,0.7,
Saharanpur,Uttar Pradesh,132,9,0.7,0.7,0.6
Muzaffarnagar,Uttar Pradesh,133,9,0.3,0.5,
Bijnor,Uttar Pradesh,134,9,0.4,0.3,
Moradabad,Uttar Pradesh,135,9,0.5,0.3,1
Rampur,Uttar Pradesh,136,9,0.7,0.9,
Jyotiba Phule Nagar,Uttar Pradesh,137,9,1,0.8,
Meerut,Uttar Pradesh,138,9,0.8,0.5,0.9
Baghpat,Uttar Pradesh,139,9,0.5,0.3,
Ghaziabad,Uttar Pradesh,140,9,0.7,0.8,0.6
Gautam Buddha Nagar,Uttar Pradesh,141,9,0.7,0.5,0.8
Bulandshahr,Uttar Pradesh,142,9,0.5,0.2,
Aligarh,Uttar Pradesh,143,9,0.4,0.5,0.3
Mahamaya Nagar,Uttar Pradesh,144,9,0.5,0.3,
Mathura,Uttar Pradesh,145,9,0.5,0.7,
Agra,Uttar Pradesh,146,9,0.3,0.3,0.3
Firozabad,Uttar Pradesh,147,9,0.4,0.4,0.4
Mainpuri,Uttar Pradesh,148,9,0.8,0.6,
Budaun,Uttar Pradesh,149,9,0.5,0.3,
Bareilly,Uttar Pradesh,150,9,0.7,0.6,0.8
Pilibhit,Uttar Pradesh,151,9,0.5,0.5,
Shahjahanpur,Uttar Pradesh,152,9,0.6,0.4,
Kheri,Uttar Pradesh,153,9,1.2,1.2,
Sitapur,Uttar Pradesh,154,9,1.1,1.1,
Hardoi,Uttar Pradesh,155,9,0.3,0.2,
Unnao,Uttar Pradesh,156,9,0.2,0.1,
Lucknow,Uttar Pradesh,157,9,0.8,1.4,0.6
Rae Bareli,Uttar Pradesh,158,9,0.4,0.4,
Farrukhabad,Uttar Pradesh,159,9,0.6,0.4,
Kannauj,Uttar Pradesh,160,9,0.6,0.4,
Etawah,Uttar Pradesh,161,9,0.6,0.6,
Auraiya,Uttar Pradesh,162,9,0.5,0.4,
Kanpur Dehat,Uttar Pradesh,163,9,0.1,0.1,
Kanpur Nagar,Uttar Pradesh,164,9,0.5,0.5,0.5
Jalaun,Uttar Pradesh,165,9,0.3,0.2,
Jhansi,Uttar Pradesh,166,9,0.4,0.3,0.4
Lalitpur,Uttar Pradesh,167,9,0.1,0.1,
Hamirpur,Uttar Pradesh,168,9,0.6,0.4,
Mahoba,Uttar Pradesh,169,9,0.4,0.5,
Banda,Uttar Pradesh,170,9,0.4,0.5,
Chitrakoot,Uttar Pradesh,171,9,0.1,0.1,
Fatehpur,Uttar Pradesh,172,9,0.9,0.7,
Pratapgarh,Uttar Pradesh,173,9,0.2,0.2,
Kaushambi,Uttar Pradesh,174,9,0.3,0.3,
Allahabad,Uttar Pradesh,175,9,0.6,0.6,
Bara Banki,Uttar Pradesh,176,9,0.4,0.5,
Faizabad,Uttar Pradesh,177,9,0.3,0.3,
Ambedkar Nagar,Uttar Pradesh,178,9,1,1.2,
Sultanpur,Uttar Pradesh,179,9,0.3,0.3,
Bahraich,Uttar Pradesh,180,9,1.2,1.4,
Shrawasti,Uttar Pradesh,181,9,0.8,0.8,
Balrampur,Uttar Pradesh,182,9,1.4,1.3,
Gonda,Uttar Pradesh,183,9,0.7,0.8,
Siddharthnagar,Uttar Pradesh,184,9,1,1,
Basti,Uttar Pradesh,185,9,0.6,0.6,
Sant Kabir Nagar,Uttar Pradesh,186,9,0.7,0.8,
Maharajganj,Uttar Pradesh,187,9,0.9,1,
Gorakhpur,Uttar Pradesh,188,9,1.1,0.9,
Kushinagar,Uttar Pradesh,189,9,0.9,0.9,
Deoria,Uttar Pradesh,190,9,0.1,0.1,
Azamgarh,Uttar Pradesh,191,9,0.6,0.5,
Mau,Uttar Pradesh,192,9,1.2,1.3,
Ballia,Uttar Pradesh,193,9,0.8,0.8,
Jaunpur,Uttar Pradesh,194,9,0.7,0.7,
Ghazipur,Uttar Pradesh,195,9,0.5,0.4,
Chandauli,Uttar Pradesh,196,9,0.5,0.5,
Varanasi,Uttar Pradesh,197,9,0.6,0.6,0.7
Sant Ravidas Nagar,Uttar Pradesh,198,9,0.4,0.5,
Mirzapur,Uttar Pradesh,199,9,0,0,
Sonbhadra,Uttar Pradesh,200,9,0,0,
Etah,Uttar Pradesh,201,9,0.3,0.1,
Kanshiram Nagar,Uttar Pradesh,202,9,0.7,0.6,
Pashchim Champaran,Bihar,203,10,0.8,0.8,
Purba Champaran,Bihar,204,10,0.5,0.4,
Sheohar,Bihar,205,10,1,1,
Sitamarhi,Bihar,206,10,0.6,0.5,
Madhubani,Bihar,207,10,0.8,0.8,
Supaul,Bihar,208,10,0.5,0.6,
Araria,Bihar,209,10,0.7,0.8,
Kishanganj,Bihar,210,10,0.7,0.6,
Purnia,Bihar,211,10,0.4,0.5,
Katihar,Bihar,212,10,0.5,0.6,
Madhepura,Bihar,213,10,0.4,0.5,
Saharsa,Bihar,214,10,0.4,0.4,
Darbhanga,Bihar,215,10,0.8,0.9,
Muzaffarpur,Bihar,216,10,0.5,0.4,
Gopalganj,Bihar,217,10,1.2,1.3,
Siwan,Bihar,218,10,0.4,0.5,
Saran,Bihar,219,10,1.2,1.1,
Vaishali,Bihar,220,10,0.3,0.1,
Samastipur,Bihar,221,10,0.5,0.5,
Begusarai,Bihar,222,10,0.7,0.5,
Khagaria,Bihar,223,10,0.4,0.4,
Bhagalpur,Bihar,224,10,0.4,0.5,
Banka,Bihar,225,10,0.3,0.3,
Munger,Bihar,226,10,0.3,0,
Lakhisarai,Bihar,227,10,0.2,0.1,
Sheikhpura,Bihar,228,10,0.1,0.1,
Nalanda,Bihar,229,10,0.3,0.2,
Patna,Bihar,230,10,0.4,0.4,0.3
Bhojpur,Bihar,231,10,0.5,0.6,
Buxar,Bihar,232,10,0.4,0.4,
Kaimur,Bihar,233,10,0.2,0.2,
Rohtas,Bihar,234,10,0.7,0.6,
Aurangabad,Bihar,235,10,0.8,0.8,
Gaya,Bihar,236,10,0.6,0.6,
Nawada,Bihar,237,10,0.6,0.5,
Jamui,Bihar,238,10,0.3,0.3,
Jehanabad,Bihar,239,10,0.4,0.3,
Arwal,Bihar,240,10,0.2,0.2,
North District,Sikkim,241,11,2.3,2.5,
West District,Sikkim,242,11,1.6,1.6,
South District,Sikkim,243,11,0.7,0.7,
East District,Sikkim,244,11,2.2,2.3,2.1
Tawang,Arunachal Pradesh,245,12,3.9,3.5,
